,Carburant,Hybride,Puissance maximale (kW),type_boite,nombre_vitesses,CO2 (g/km),Carrosserie,gamme,masse vide moyenne
1216,ES,non,70.0,M,5,136.0,BERLINE,MOY-INFER,1150.0
1217,ES,non,70.0,M,5,134.0,BERLINE,MOY-INFER,1150.0
1218,ES,non,70.0,A,5,127.0,BERLINE,MOY-INFER,1154.0
1219,ES,non,70.0,A,5,129.0,BERLINE,MOY-INFER,1154.0
1220,GO,non,84.0,M,6,118.0,BERLINE,MOY-INFER,1165.0
1221,GO,non,84.0,M,6,114.0,BERLINE,MOY-INFER,1165.0
1222,GO,non,84.0,M,6,109.0,BERLINE,MOY-INFER,1165.0
1223,GO,non,84.0,M,6,99.0,BERLINE,MOY-INFER,1165.0
1224,GO,non,68.0,A,6,95.0,BERLINE,MOY-INFER,1165.0
1225,GO,non,68.0,A,6,99.0,BERLINE,MOY-INFER,1165.0
1226,GO,non,68.0,M,5,95.0,BERLINE,MOY-INFER,1160.0
1227,GO,non,68.0,M,5,90.0,BERLINE,MOY-INFER,1160.0
1228,GO,non,68.0,M,5,98.0,BERLINE,MOY-INFER,1160.0
1229,ES,non,60.0,M,5,107.0,BERLINE,MOY-INFER,1050.0
1230,ES,non,60.0,M,5,104.0,BERLINE,MOY-INFER,1050.0
1231,ES,non,60.0,M,5,102.0,BERLINE,MOY-INFER,1050.0
1232,ES,non,88.0,M,5,136.0,CABRIOLET,MOY-INFER,1163.0
1233,ES,non,88.0,A,4,154.0,CABRIOLET,MOY-INFER,1208.0
1234,ES,non,115.0,M,6,137.0,CABRIOLET,MOY-INFER,1231.0
1235,GO,non,68.0,A,6,99.0,CABRIOLET,MOY-INFER,1165.0
1236,ES,non,60.0,M,5,112.0,CABRIOLET,MOY-INFER,1107.0
1237,ES,non,60.0,M,5,109.0,CABRIOLET,MOY-INFER,1107.0
1238,ES,non,120.0,A,6,178.0,BERLINE,MOY-INFER,1438.0
1239,ES,non,88.0,M,5,144.0,BERLINE,MOY-INFER,1280.0
1240,ES,non,147.0,M,6,149.0,BERLINE,MOY-INFER,1391.0
1241,GO,non,84.0,M,6,122.0,BERLINE,MOY-INFER,1365.0
1242,GO,non,84.0,A,6,110.0,BERLINE,MOY-INFER,1375.0
1243,GO,non,84.0,M,6,110.0,BERLINE,MOY-INFER,1370.0
1244,GO,non,84.0,A,6,114.0,BERLINE,MOY-INFER,1375.0
1245,GO,non,84.0,M,6,113.0,BERLINE,MOY-INFER,1370.0
1246,GO,non,120.0,M,6,130.0,BERLINE,MOY-INFER,1395.0
1247,GO,non,120.0,A,6,149.0,BERLINE,MOY-INFER,1505.0
1248,ES,non,147.0,M,6,155.0,BERLINE,MOY-SUPER,1505.0
1249,ES,non,115.0,A,6,169.0,BERLINE,MOY-SUPER,1495.0
1250,ES,non,115.0,A,6,165.0,BERLINE,MOY-SUPER,1495.0
1251,GO,non,84.0,A,6,114.0,BERLINE,MOY-SUPER,1495.0
1252,GH,oui,120.0,A,6,88.0,BERLINE,MOY-SUPER,1735.0
1253,GH,oui,120.0,A,6,102.0,BERLINE,MOY-SUPER,1735.0
1254,GO,non,120.0,M,6,133.0,BERLINE,MOY-SUPER,1605.0
1255,GO,non,120.0,M,6,129.0,BERLINE,MOY-SUPER,1605.0
1257,GO,non,120.0,A,6,158.0,BERLINE,MOY-SUPER,1615.0
1258,GO,non,120.0,A,6,154.0,BERLINE,MOY-SUPER,1615.0
1259,GO,non,81.0,M,6,187.0,MINIBUS,MOY-INFER,2010.0
1260,GO,non,96.0,M,6,184.0,MINIBUS,MOY-INFER,2025.0
1261,GO,non,110.0,M,6,184.0,MINIBUS,MOY-INFER,2025.0
1262,GO,non,96.0,M,6,189.0,MINIBUS,MOY-INFER,2135.0
1263,GO,non,110.0,M,6,189.0,MINIBUS,MOY-INFER,2135.0
1264,GO,non,72.0,M,6,179.0,MINIBUS,MOY-INFER,1982.0
1265,GO,non,94.0,M,6,172.0,MINIBUS,MOY-INFER,1982.0
1266,GO,non,120.0,M,6,172.0,MINIBUS,MOY-INFER,1989.5
1267,GO,non,120.0,A,6,199.0,MINIBUS,MOY-INFER,1986.0
1268,GO,non,72.0,M,6,179.0,MINIBUS,MOY-INFER,1992.0
1269,GO,non,94.0,M,6,172.0,MINIBUS,MOY-INFER,1992.0
1270,GO,non,120.0,M,6,172.0,MINIBUS,MOY-INFER,2022.5
1271,GO,non,120.0,A,6,199.0,MINIBUS,MOY-INFER,2003.0
1272,GO,non,72.0,M,6,179.0,MINIBUS,MOY-INFER,2003.5
1273,GO,non,94.0,M,6,172.0,MINIBUS,MOY-INFER,2003.5
1274,GO,non,120.0,M,6,172.0,MINIBUS,MOY-INFER,2034.5
1275,GO,non,120.0,M,6,172.0,MINIBUS,MOY-INFER,2070.0
1276,GO,non,72.0,M,6,179.0,MINIBUS,MOY-INFER,2070.0
1277,GO,non,94.0,M,6,172.0,MINIBUS,MOY-INFER,2070.0
1278,GO,non,120.0,M,6,172.0,MINIBUS,MOY-INFER,2075.0
1279,GO,non,55.0,M,5,119.0,COMBISPACE,INFERIEURE,1260.0
1280,GO,non,55.0,M,5,107.0,COMBISPACE,INFERIEURE,1275.0
1281,GO,non,55.0,M,5,119.0,COMBISPACE,INFERIEURE,1275.0
1282,ES,non,54.0,M,5,152.0,COMBISPACE,INFERIEURE,1240.0
1283,ES,non,54.0,M,5,152.0,COMBISPACE,INFERIEURE,1255.0
1284,ES,non,85.0,M,5,135.0,COMBISPACE,INFERIEURE,1331.5
1285,ES,non,60.5,M,5,168.0,COMBISPACE,INFERIEURE,1257.0
1286,GO,non,55.0,M,5,118.0,COMBISPACE,INFERIEURE,1339.5
1287,GO,non,66.0,M,5,118.0,COMBISPACE,INFERIEURE,1342.5
1288,ES/GP,non,77.0,M,5,167.0,TS TERRAINS/CHEMINS,INFERIEURE,1325.0
1292,GP/ES,non,75.0,M,5,145.0,TS TERRAINS/CHEMINS,INFERIEURE,1325.0
1296,GO,non,66.0,M,6,132.0,TS TERRAINS/CHEMINS,INFERIEURE,1409.0
1297,GO,non,79.0,M,6,130.0,TS TERRAINS/CHEMINS,INFERIEURE,1328.0
1298,GO,non,81.0,M,6,135.0,TS TERRAINS/CHEMINS,INFERIEURE,1415.0
1299,GO,non,66.0,M,5,126.0,TS TERRAINS/CHEMINS,INFERIEURE,1319.0
1300,ES,non,85.0,M,5,131.0,MONOSPACE COMPACT,MOY-INFER,1312.0
1301,ES,non,60.5,M,5,161.0,MONOSPACE COMPACT,MOY-INFER,1246.0
1302,GO,non,79.0,M,6,116.0,MONOSPACE COMPACT,MOY-INFER,1339.0
1303,ES,non,85.0,M,5,135.0,MONOSPACE COMPACT,MOY-INFER,1332.5
1304,ES,non,60.5,M,5,161.0,MONOSPACE COMPACT,MOY-INFER,1311.5
1305,GO,non,79.0,M,6,116.0,MONOSPACE COMPACT,MOY-INFER,1381.0
1306,GO,non,66.0,M,5,109.0,MONOSPACE COMPACT,MOY-INFER,1327.5
1307,GO,non,66.0,M,5,109.0,MONOSPACE COMPACT,MOY-INFER,1358.0
1308,GO,non,55.0,M,5,99.0,BREAK,INFERIEURE,1177.5
1309,ES,non,66.0,M,5,116.0,BREAK,INFERIEURE,1112.5
1310,ES,non,55.0,M,5,135.0,BREAK,INFERIEURE,1093.0
1311,GO,non,66.0,M,5,99.0,BREAK,INFERIEURE,1177.5
1312,GO,non,55.0,M,5,99.0,BERLINE,INFERIEURE,1161.5
1313,ES,non,66.0,M,5,116.0,BERLINE,INFERIEURE,1093.5
1314,ES,non,66.0,M,5,124.0,BERLINE,INFERIEURE,1139.0
1315,ES,non,55.0,M,5,135.0,BERLINE,INFERIEURE,1072.5
1316,GO,non,66.0,M,5,99.0,BERLINE,INFERIEURE,1161.5
1317,GO,non,66.0,M,5,105.0,BERLINE,INFERIEURE,1197.5
1318,ES/GP,non,55.0,M,5,136.0,BERLINE,INFERIEURE,1113.5
1322,GP/ES,non,53.0,M,5,120.0,BERLINE,INFERIEURE,1113.5
1326,GO,non,84.0,M,5,150.0,COMBISPACE,INFERIEURE,1591.0
1327,GO,non,84.0,M,5,139.0,COMBISPACE,INFERIEURE,1501.0
1328,GO,non,55.0,M,5,139.0,COMBISPACE,INFERIEURE,1485.0
1329,GO,non,68.0,M,5,154.0,COMBISPACE,INFERIEURE,1575.0
1330,GO,non,68.0,M,5,148.0,COMBISPACE,INFERIEURE,1575.0
1332,GO,non,68.0,M,5,139.0,COMBISPACE,INFERIEURE,1485.0
1333,GO,non,68.0,M,5,134.0,COMBISPACE,INFERIEURE,1485.0
1334,GO,non,55.0,M,5,119.0,COMBISPACE,INFERIEURE,1333.0
1336,GO,non,96.0,M,6,229.0,MINIBUS,MOY-INFER,2515.0
1337,GO,non,96.0,M,6,195.0,MINIBUS,MOY-INFER,2515.0
1338,GO,non,96.0,M,6,195.0,MINIBUS,MOY-INFER,2615.0
1339,GO,non,96.0,M,6,195.0,MINIBUS,MOY-INFER,2275.0
1340,GO,non,109.0,M,6,195.0,MINIBUS,MOY-INFER,2515.0
1341,GO,non,109.0,M,6,195.0,MINIBUS,MOY-INFER,2615.0
1342,GO,non,109.0,M,6,195.0,MINIBUS,MOY-INFER,2275.0
1343,GO,non,96.0,M,6,195.0,MINIBUS,MOY-INFER,2680.0
1344,GO,non,109.0,M,6,195.0,MINIBUS,MOY-INFER,2680.0
1345,GO,non,94.0,M,6,199.0,MINIBUS,MOY-INFER,2117.0
1346,GO,non,94.0,M,6,199.0,MINIBUS,MOY-INFER,2127.0
1347,GO,non,94.0,M,6,199.0,MINIBUS,MOY-INFER,2138.5
1348,GO,non,96.0,M,6,229.0,MINIBUS,MOY-INFER,2275.0
1349,GO,non,110.0,M,6,229.0,MINIBUS,MOY-INFER,2515.0
1363,GO,non,94.0,M,6,199.0,MINIBUS,MOY-INFER,2069.0
1365,GO,non,94.0,M,6,199.0,MINIBUS,MOY-INFER,2072.5
1366,ES,non,416.0,D,7,275.0,COUPE,LUXE,1590.0
1367,ES,non,416.0,D,7,307.0,COUPE,LUXE,1590.0
1370,ES,non,416.0,D,7,275.0,CABRIOLET,LUXE,1640.0
1371,ES,non,416.0,D,7,307.0,CABRIOLET,LUXE,1640.0
1374,ES,non,360.0,D,7,270.0,CABRIOLET,LUXE,1855.0
1375,ES,non,360.0,D,7,299.0,CABRIOLET,LUXE,1855.0
1378,ES,non,360.0,D,7,299.0,CABRIOLET,LUXE,1875.0
1379,ES,non,360.0,D,7,270.0,CABRIOLET,LUXE,1875.0
1382,ES,non,541.0,D,7,350.0,COUPE,LUXE,1791.0
1383,ES,non,541.0,D,7,380.0,COUPE,LUXE,1791.0
1384,ES,non,486.0,D,7,380.0,COUPE,LUXE,1955.0
1385,ES,non,486.0,D,7,360.0,COUPE,LUXE,1955.0
1387,ES,non,51.0,D,5,118.0,BERLINE,ECONOMIQUE,975.0
1388,ES,non,51.0,D,5,110.0,BERLINE,ECONOMIQUE,975.0
1390,ES,non,51.0,M,5,110.0,BERLINE,ECONOMIQUE,975.0
1391,ES,non,51.0,D,5,115.0,BERLINE,ECONOMIQUE,975.0
1393,ES,non,51.0,M,5,119.0,BERLINE,ECONOMIQUE,940.0
1396,ES,non,51.0,M,5,113.0,BERLINE,ECONOMIQUE,940.0
1400,ES,non,51.0,M,5,104.0,BERLINE,ECONOMIQUE,940.0
1404,ES/GP,non,51.0,M,5,119.0,BERLINE,ECONOMIQUE,940.0
1412,GP/ES,non,51.0,M,5,106.0,BERLINE,ECONOMIQUE,940.0
1420,ES,non,51.0,M,5,110.0,BERLINE,ECONOMIQUE,940.0
1421,GO,non,55.0,M,5,110.0,BERLINE,ECONOMIQUE,1055.0
1422,ES,non,73.5,D,5,140.0,BERLINE,ECONOMIQUE,1015.0
1423,ES,non,73.5,M,5,140.0,BERLINE,ECONOMIQUE,1015.0
1424,ES,non,73.5,D,5,135.0,BERLINE,ECONOMIQUE,1015.0
1426,ES,non,73.5,M,5,135.0,BERLINE,ECONOMIQUE,1015.0
1427,ES,non,73.5,D,5,130.0,BERLINE,ECONOMIQUE,1015.0
1429,ES,non,73.5,M,6,149.0,BERLINE,ECONOMIQUE,1005.0
1431,ES,non,73.5,M,6,140.0,BERLINE,ECONOMIQUE,1005.0
1434,ES,non,73.5,M,6,135.0,BERLINE,ECONOMIQUE,1005.0
1436,ES,non,99.0,M,5,155.0,BERLINE,ECONOMIQUE,1110.0
1437,ES,non,118.0,M,5,155.0,BERLINE,ECONOMIQUE,1110.0
1438,GO,non,70.0,M,5,104.0,BERLINE,ECONOMIQUE,1055.0
1440,ES,non,62.5,D,5,92.0,BERLINE,ECONOMIQUE,1015.0
1441,ES,non,62.5,M,5,92.0,BERLINE,ECONOMIQUE,1015.0
1442,ES,non,62.5,D,5,90.0,BERLINE,ECONOMIQUE,1015.0
1443,ES,non,62.5,M,5,95.0,BERLINE,ECONOMIQUE,1005.0
1445,ES,non,62.5,M,5,92.0,BERLINE,ECONOMIQUE,1005.0
1446,ES,non,48.0,M,5,97.0,BERLINE,ECONOMIQUE,940.0
1447,ES,non,48.0,M,5,97.0,BERLINE,ECONOMIQUE,980.0
1448,ES,non,48.0,M,5,95.0,BERLINE,ECONOMIQUE,940.0
1449,ES,non,48.0,M,5,95.0,BERLINE,ECONOMIQUE,980.0
1450,ES,non,51.0,D,5,118.0,BERLINE,ECONOMIQUE,1015.0
1451,ES,non,51.0,D,5,110.0,BERLINE,ECONOMIQUE,1015.0
1453,ES,non,51.0,D,5,115.0,BERLINE,ECONOMIQUE,1015.0
1455,ES,non,51.0,M,5,119.0,BERLINE,ECONOMIQUE,980.0
1457,ES,non,51.0,M,5,113.0,BERLINE,ECONOMIQUE,980.0
1458,ES,non,51.0,M,5,110.0,BERLINE,ECONOMIQUE,980.0
1459,GO,non,55.0,M,5,110.0,BERLINE,ECONOMIQUE,1095.0
1460,ES,non,73.5,D,5,140.0,BERLINE,ECONOMIQUE,1055.0
1461,ES,non,73.5,D,5,135.0,BERLINE,ECONOMIQUE,1055.0
1463,ES,non,73.5,M,5,135.0,BERLINE,ECONOMIQUE,1055.0
1464,ES,non,73.5,D,5,130.0,BERLINE,ECONOMIQUE,1055.0
1466,ES,non,73.5,M,6,149.0,BERLINE,ECONOMIQUE,1045.0
1467,ES,non,73.5,M,6,140.0,BERLINE,ECONOMIQUE,1045.0
1470,ES,non,73.5,M,6,135.0,BERLINE,ECONOMIQUE,1045.0
1472,GO,non,70.0,M,5,104.0,BERLINE,ECONOMIQUE,1095.0
1474,ES,non,62.5,D,5,92.0,BERLINE,ECONOMIQUE,1055.0
1475,ES,non,62.5,M,5,92.0,BERLINE,ECONOMIQUE,1055.0
1476,ES,non,62.5,D,5,90.0,BERLINE,ECONOMIQUE,1055.0
1477,ES,non,62.5,M,5,95.0,BERLINE,ECONOMIQUE,1045.0
1479,ES,non,62.5,M,5,92.0,BERLINE,ECONOMIQUE,1045.0
1480,GO,non,62.0,M,5,105.0,MINISPACE,ECONOMIQUE,1395.0
1482,GO,non,62.0,M,5,109.0,MINISPACE,ECONOMIQUE,1385.0
1484,GO,non,62.0,M,5,105.0,MINISPACE,ECONOMIQUE,1375.0
1485,GO,non,62.0,M,5,110.0,MINISPACE,ECONOMIQUE,1390.0
1489,GO,non,62.0,M,5,114.0,MINISPACE,ECONOMIQUE,1380.0
1491,GO,non,62.0,M,5,110.0,MINISPACE,ECONOMIQUE,1370.0
1493,ES,non,70.0,M,6,145.0,MINISPACE,ECONOMIQUE,1320.0
1495,ES,non,70.0,M,6,149.0,MINISPACE,ECONOMIQUE,1330.0
1496,ES,non,77.0,M,6,112.0,MINISPACE,ECONOMIQUE,1335.0
1500,ES,non,77.0,M,6,109.0,MINISPACE,ECONOMIQUE,1335.0
1506,ES,non,77.0,M,6,119.0,MINISPACE,ECONOMIQUE,1345.0
1508,GO,non,77.0,M,6,117.0,MINISPACE,ECONOMIQUE,1440.0
1510,GO,non,77.0,M,6,122.0,MINISPACE,ECONOMIQUE,1450.0
1513,ES,non,66.0,M,6,146.0,BERLINE,MOY-INFER,1280.0
1514,ES/GP,non,66.0,M,6,146.0,BERLINE,MOY-INFER,1280.0
1522,GP/ES,non,66.0,M,6,134.0,BERLINE,MOY-INFER,1280.0
1530,ES,non,88.0,M,6,146.0,BERLINE,MOY-INFER,1335.0
1532,GO,non,77.0,M,6,129.0,BERLINE,MOY-INFER,1395.0
1536,GO,non,77.0,M,6,115.0,BERLINE,MOY-INFER,1395.0
1537,GO,non,88.0,M,6,120.0,BERLINE,MOY-INFER,1395.0
1541,GO,non,88.0,M,6,129.0,BERLINE,MOY-INFER,1395.0
1545,GO,non,88.0,M,6,125.0,BERLINE,MOY-INFER,1395.0
1546,GO,non,88.0,M,6,122.0,BERLINE,MOY-INFER,1395.0
1547,GO,non,121.0,M,6,139.0,BERLINE,MOY-INFER,1435.0
1551,ES,non,103.0,M,6,132.0,BERLINE,MOY-INFER,1350.0
1553,GO,non,121.0,M,6,135.0,BERLINE,MOY-INFER,1435.0
1555,GO,non,120.0,M,6,135.0,BERLINE,MOY-INFER,1435.0
1557,ES,non,70.0,M,5,166.0,COMBISPACE,INFERIEURE,1415.0
1559,ES,non,70.0,M,5,166.0,COMBISPACE,INFERIEURE,1445.0
1560,ES,non,70.0,M,5,172.0,COMBISPACE,INFERIEURE,1445.0
1562,ES,non,70.0,M,5,171.0,COMBISPACE,INFERIEURE,1505.0
1563,ES,non,70.0,M,5,177.0,COMBISPACE,INFERIEURE,1505.0
1564,GO,non,77.0,M,6,138.0,COMBISPACE,INFERIEURE,1485.0
1565,GO,non,77.0,M,6,138.0,COMBISPACE,INFERIEURE,1505.0
1568,GO,non,77.0,M,6,145.0,COMBISPACE,INFERIEURE,1505.0
1569,GO,non,77.0,M,6,150.0,COMBISPACE,INFERIEURE,1575.0
1570,GO,non,77.0,M,6,158.0,COMBISPACE,INFERIEURE,1575.0
1571,GO,non,99.0,M,6,150.0,COMBISPACE,INFERIEURE,1525.0
1572,GO,non,99.0,M,6,150.0,COMBISPACE,INFERIEURE,1555.0
1575,GO,non,99.0,M,6,156.0,COMBISPACE,INFERIEURE,1555.0
1576,GO,non,99.0,M,6,157.0,COMBISPACE,INFERIEURE,1615.0
1577,GO,non,99.0,M,6,163.0,COMBISPACE,INFERIEURE,1615.0
1578,ES/GN,non,88.0,M,6,173.0,COMBISPACE,INFERIEURE,1615.0
1594,GN/ES,non,88.0,M,6,134.0,COMBISPACE,INFERIEURE,1615.0
1626,ES,non,88.0,M,6,169.0,COMBISPACE,INFERIEURE,1490.0
1628,GO,non,66.0,D,5,133.0,COMBISPACE,INFERIEURE,1485.0
1629,GO,non,66.0,D,5,133.0,COMBISPACE,INFERIEURE,1505.0
1630,GO,non,66.0,D,5,145.0,COMBISPACE,INFERIEURE,1505.0
1631,GO,non,66.0,M,6,138.0,COMBISPACE,INFERIEURE,1485.0
1632,GO,non,66.0,M,6,138.0,COMBISPACE,INFERIEURE,1505.0
1633,GO,non,66.0,M,6,148.0,COMBISPACE,INFERIEURE,1505.0
1636,GO,non,66.0,M,6,145.0,COMBISPACE,INFERIEURE,1505.0
1637,GO,non,66.0,M,6,150.0,COMBISPACE,INFERIEURE,1575.0
1638,GO,non,66.0,M,6,158.0,COMBISPACE,INFERIEURE,1575.0
1644,GO,non,66.0,D,5,141.0,COMBISPACE,INFERIEURE,1505.0
1645,GO,non,66.0,D,5,152.0,COMBISPACE,INFERIEURE,1575.0
1646,GO,non,66.0,D,5,163.0,COMBISPACE,INFERIEURE,1575.0
1647,GO,non,96.0,A,6,186.0,MINIBUS,MOY-INFER,2290.0
1649,GO,non,96.0,A,6,173.0,MINIBUS,MOY-INFER,2025.0
1651,GO,non,96.0,M,6,186.0,MINIBUS,MOY-INFER,2290.0
1653,GO,non,96.0,M,6,180.0,MINIBUS,MOY-INFER,2290.0
1659,GO,non,96.0,M,6,173.0,MINIBUS,MOY-INFER,2025.0
1661,GO,non,96.0,M,6,167.0,MINIBUS,MOY-INFER,2025.0
1666,GO,non,109.0,A,6,186.0,MINIBUS,MOY-INFER,2290.0
1668,GO,non,109.0,A,6,173.0,MINIBUS,MOY-INFER,2025.0
1670,GO,non,109.0,M,6,186.0,MINIBUS,MOY-INFER,2290.0
1672,GO,non,109.0,M,6,180.0,MINIBUS,MOY-INFER,2290.0
1676,GO,non,109.0,M,6,173.0,MINIBUS,MOY-INFER,2025.0
1678,GO,non,109.0,M,6,167.0,MINIBUS,MOY-INFER,2025.0
1682,GO,non,130.0,A,6,207.0,MINIBUS,MOY-INFER,2340.0
1684,GO,non,130.0,A,6,181.0,MINIBUS,MOY-INFER,2075.0
1686,GO,non,130.0,M,6,210.0,MINIBUS,MOY-INFER,2340.0
1688,GO,non,130.0,M,6,184.0,MINIBUS,MOY-INFER,2075.0
1690,GO,non,85.0,M,5,182.0,MINIBUS,MOY-INFER,2275.0
1692,GO,non,85.0,M,5,166.0,MINIBUS,MOY-INFER,2010.0
1696,GO,non,96.0,A,6,186.0,MINIBUS,MOY-INFER,2375.0
1698,GO,non,96.0,A,6,186.0,MINIBUS,MOY-INFER,2475.0
1699,GO,non,96.0,A,6,186.0,MINIBUS,MOY-INFER,2450.0
1700,GO,non,96.0,A,6,180.0,MINIBUS,MOY-INFER,2135.0
1702,GO,non,96.0,M,6,186.0,MINIBUS,MOY-INFER,2375.0
1704,GO,non,96.0,M,6,186.0,MINIBUS,MOY-INFER,2475.0
1706,GO,non,96.0,M,6,186.0,MINIBUS,MOY-INFER,2450.0
1707,GO,non,96.0,M,6,180.0,MINIBUS,MOY-INFER,2375.0
1712,GO,non,96.0,M,6,180.0,MINIBUS,MOY-INFER,2475.0
1715,GO,non,96.0,M,6,180.0,MINIBUS,MOY-INFER,2450.0
1716,GO,non,96.0,M,6,180.0,MINIBUS,MOY-INFER,2135.0
1718,GO,non,96.0,M,6,174.0,MINIBUS,MOY-INFER,2025.0
1722,GO,non,109.0,A,6,186.0,MINIBUS,MOY-INFER,2375.0
1724,GO,non,109.0,A,6,186.0,MINIBUS,MOY-INFER,2475.0
1725,GO,non,109.0,A,6,180.0,MINIBUS,MOY-INFER,2135.0
1727,GO,non,109.0,M,6,186.0,MINIBUS,MOY-INFER,2375.0
1729,GO,non,109.0,M,6,186.0,MINIBUS,MOY-INFER,2475.0
1730,GO,non,109.0,M,6,180.0,MINIBUS,MOY-INFER,2375.0
1734,GO,non,109.0,M,6,180.0,MINIBUS,MOY-INFER,2475.0
1736,GO,non,109.0,M,6,180.0,MINIBUS,MOY-INFER,2450.0
1737,GO,non,109.0,M,6,180.0,MINIBUS,MOY-INFER,2135.0
1741,GO,non,109.0,M,6,174.0,MINIBUS,MOY-INFER,2135.0
1747,GO,non,130.0,A,6,207.0,MINIBUS,MOY-INFER,2425.0
1749,GO,non,130.0,A,6,207.0,MINIBUS,MOY-INFER,2525.0
1750,GO,non,130.0,M,6,210.0,MINIBUS,MOY-INFER,2425.0
1752,GO,non,130.0,M,6,210.0,MINIBUS,MOY-INFER,2525.0
1754,GO,non,85.0,M,5,182.0,MINIBUS,MOY-INFER,2360.0
1756,GO,non,85.0,M,5,182.0,MINIBUS,MOY-INFER,2460.0
1757,GO,non,85.0,M,5,174.0,MINIBUS,MOY-INFER,2120.0
1759,GO,non,96.0,A,6,186.0,MINIBUS,MOY-INFER,2540.0
1760,GO,non,96.0,M,6,186.0,MINIBUS,MOY-INFER,2540.0
1762,GO,non,96.0,M,6,180.0,MINIBUS,MOY-INFER,2540.0
1765,GO,non,109.0,A,6,186.0,MINIBUS,MOY-INFER,2540.0
1766,GO,non,109.0,M,6,186.0,MINIBUS,MOY-INFER,2540.0
1767,GO,non,109.0,M,6,180.0,MINIBUS,MOY-INFER,2540.0
1769,GO,non,85.0,M,5,182.0,MINIBUS,MOY-INFER,2525.0
1770,ES/GN,non,57.0,M,5,152.0,COMBISPACE,INFERIEURE,1365.0
1778,GN/ES,non,51.0,M,5,114.0,COMBISPACE,INFERIEURE,1365.0
1790,GO,non,70.0,M,5,107.0,COMBISPACE,INFERIEURE,1275.0
1792,GO,non,103.0,M,6,169.0,TS TERRAINS/CHEMINS,MOY-SUPER,1924.5
1793,GO,non,125.0,M,6,169.0,TS TERRAINS/CHEMINS,MOY-SUPER,1924.5
1794,GO,non,103.0,M,6,169.0,TS TERRAINS/CHEMINS,MOY-SUPER,1970.5
1795,GO,non,125.0,M,6,169.0,TS TERRAINS/CHEMINS,MOY-SUPER,1970.5
1796,GO,non,125.0,A,6,194.0,TS TERRAINS/CHEMINS,MOY-SUPER,2104.0
1797,ES,non,206.0,A,6,262.0,TS TERRAINS/CHEMINS,MOY-SUPER,2008.0
1798,ES,non,206.0,A,6,262.0,TS TERRAINS/CHEMINS,MOY-SUPER,2049.0
1799,ES,non,51.0,M,5,110.0,BERLINE,INFERIEURE,972.0
1800,ES,non,51.0,M,5,110.0,BERLINE,INFERIEURE,967.5
1801,ES,non,51.0,M,5,139.0,BERLINE,INFERIEURE,1098.5
1802,GO,non,55.0,M,5,128.0,BERLINE,INFERIEURE,1195.0
1803,GO,non,55.0,M,5,128.0,BERLINE,INFERIEURE,1185.0
1804,ES/GN,non,57.0,M,5,139.0,BERLINE,INFERIEURE,1154.0
1812,GN/ES,non,51.0,M,5,107.0,BERLINE,INFERIEURE,1154.0
1820,ES,non,51.0,M,5,120.0,BERLINE,INFERIEURE,1015.0
1822,ES/GP,non,51.0,M,5,120.0,BERLINE,INFERIEURE,1055.0
1830,GP/ES,non,51.0,M,5,107.0,BERLINE,INFERIEURE,1055.0
1838,ES/GN,non,62.5,M,5,107.0,BERLINE,INFERIEURE,1155.0
1846,GN/ES,non,59.0,M,5,86.0,BERLINE,INFERIEURE,1155.0
1902,ES,non,62.5,M,5,105.0,BERLINE,INFERIEURE,1050.0
1904,ES,non,62.5,M,5,97.0,BERLINE,INFERIEURE,1050.0
1906,ES,non,62.5,M,6,114.0,BERLINE,INFERIEURE,1125.0
1908,GO,non,55.0,M,5,104.0,BERLINE,INFERIEURE,1110.0
1910,GO,non,55.0,M,5,109.0,BERLINE,INFERIEURE,1110.0
1912,GO,non,55.0,M,5,125.0,BERLINE,INFERIEURE,1190.0
1914,ES,non,57.0,M,5,124.0,BERLINE,INFERIEURE,1100.0
1915,ES/GP,non,57.0,M,5,133.0,BERLINE,INFERIEURE,1100.0
1919,GP/ES,non,57.0,M,5,114.0,BERLINE,INFERIEURE,1100.0
1923,ES/GN,non,57.0,M,5,149.0,BERLINE,INFERIEURE,1245.0
1927,GN/ES,non,51.0,M,5,115.0,BERLINE,INFERIEURE,1245.0
1931,ES,non,57.0,M,5,132.0,BERLINE,INFERIEURE,1100.0
1932,GO,non,55.0,M,5,112.0,BERLINE,INFERIEURE,1165.0
1934,GO,non,70.0,M,5,110.0,BERLINE,INFERIEURE,1205.0
1935,ES,non,77.0,M,6,133.0,BERLINE,INFERIEURE,1135.0
1936,GO,non,62.0,M,5,90.0,BERLINE,INFERIEURE,1205.0
1937,ES,non,51.0,M,5,126.0,BERLINE,INFERIEURE,1090.0
1939,ES,non,62.5,M,6,98.0,BERLINE,INFERIEURE,1150.0
1940,ES,non,57.0,M,5,124.0,BERLINE,INFERIEURE,1115.0
1941,ES/GP,non,57.0,M,5,133.0,BERLINE,INFERIEURE,1115.0
1945,GP/ES,non,57.0,M,5,114.0,BERLINE,INFERIEURE,1115.0
1949,ES/GN,non,57.0,M,5,149.0,BERLINE,INFERIEURE,1260.0
1953,GN/ES,non,51.0,M,5,115.0,BERLINE,INFERIEURE,1260.0
1957,ES,non,57.0,M,5,132.0,BERLINE,INFERIEURE,1115.0
1958,GO,non,55.0,M,5,112.0,BERLINE,INFERIEURE,1180.0
